Character,From Apple Modifier,HID usage,To Windows Modifier,HID usage

{,Alt,0x0025,Alt-Gr,0x0024

[,Alt,0x0022,Alt-Gr,0x0025

],Alt,0x0023,Alt-Gr,0x0026

},Alt,0x0026,Alt-Gr,0x0027

\,Shift Alt,0x0024,Alt-Gr,0x002D

@,Alt,0x000F,Alt-Gr,0x0014

~,Alt,0x0011,Alt-Gr,0x0030

|,Alt,0x0024,Alt-Gr,0x0064

<,Alt Control,0x0035,Alt-Gr,0x0064

^,Alt Control,0x0064,Alt-Gr,0x0035

=,,0x0067,Shift,0x0027
