Character,From Apple Modifier,HID usage,To Windows Modifier,HID usage
',,0x0064,,0x0032
´,,0x002e,Alt-Gr,0x002E
$,Shift,0x0021,Alt-Gr,0x0021
€,Alt,0x0064,Alt-Gr,0x0022
£,Alt,0x0020,Alt-Gr,0x0020
€,Alt,0x0021,Alt-Gr,0x0022
§,Alt,0x0023,Shift,0x0035
|,Alt,0x0024,,0x0035
[,Alt,0x0025,Alt-Gr,0x0025
],Alt,0x0026,Alt-Gr,0x0026
µ,Alt,0x001c,Alt-Gr,0x0010
@,,0x0031,Alt-Gr,0x001f
\,Alt Shift,0x0024,,0x002e
{,Alt Shift,0x0025,Alt-Gr,0x0024
},Alt Shift,0x0026,Alt-Gr,0x0027
