Character,From Apple Modifier,HID usage,To Windows Modifier,HID usage

<,,0x0064,,0x0035
>,Shift,0x0064,Shift,0x0035

^,,0x0035,,0x0064
°,Shift,0x0035,Shift,0x0064
\,Alt,0x0035,Alt-Gr,0x0064

@,Alt,0x000A,Alt-Gr,0x001F

=,,0x0067,Shift,0x0027
