Character,From Apple Modifier,HID usage,To Windows Modifier,HID usage

<,,0x0064,,0x0035
>,Shift,0x0064,Shift,0x0035
>,Alt,0x0064,Alt-Gr,0x0035

^,,0x0035,,0x0064
°,Shift,0x0035,Shift,0x0064
^,Alt,0x0035,Alt-Gr,0x0064
